run_name,depth,architecture,replicate,checkpoint_step,layer_name,mmcs,ml2r,ml2r_shrinkage_gap,assignment_cosine_mean,per_feature_mmcs,per_feature_ml2r,high_mmcs_flag,paper_shrinkage_flag_0p95,paper_shrinkage_flag_0p90,paper_shrinkage_flag_0p80,grouped_top1_ml2r,grouped_top3_ml2r,grouped_top5_ml2r
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000,linear1,0.9999158978462219,0.9887871742248535,0.011212825775146484,0.9999158978462219,"[0.9999973773956299, 0.9998489022254944, 0.9999932050704956, 0.9999696016311646, 0.9997705221176147]","[0.9881733059883118, 0.997978925704956, 0.982143759727478, 0.9867157340049744, 0.9889240264892578]",1.0,0.0,0.0,0.0,0.9887871742248535,1.003680944442749,1.0301439762115479
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000,linear2,0.6379631757736206,0.6200660467147827,0.3799339532852173,0.6379631757736206,"[0.6404476165771484, 0.6354787945747375]","[0.6217114329338074, 0.6184206008911133]",0.0,0.0,0.0,0.0,0.6200660467147827,0.9678758978843689,1.0122437477111816
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000,linear1,0.9999397993087769,0.988412082195282,0.011587917804718018,0.9999397993087769,"[0.9999969601631165, 0.999928891658783, 0.9999982714653015, 0.9999865293502808, 0.999788224697113]","[0.987207293510437, 0.9932093620300293, 0.9858883023262024, 0.9910703897476196, 0.9846850633621216]",1.0,0.0,0.0,0.0,0.988412082195282,1.0259654521942139,1.0327229499816895
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000,linear2,0.6389142274856567,0.6202216744422913,0.37977832555770874,0.6389142274856567,"[0.6401190757751465, 0.637709379196167]","[0.6194198727607727, 0.6210234761238098]",0.0,0.0,0.0,0.0,0.6202216744422913,0.8961378335952759,1.0177552700042725
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000,linear1,0.9999462366104126,0.9913450479507446,0.008654952049255371,0.9999462366104126,"[0.9999998807907104, 0.9999125599861145, 0.9999990463256836, 0.9999788999557495, 0.999840497970581]","[0.9902422428131104, 0.9960888028144836, 0.985231876373291, 0.9949264526367188, 0.9902355670928955]",1.0,0.0,0.0,0.0,0.9913450479507446,1.0347709655761719,1.034207820892334
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000,linear2,0.6407750844955444,0.622358500957489,0.377641499042511,0.6407750844955444,"[0.6435993909835815, 0.6379507184028625]","[0.6212201714515686, 0.6234968304634094]",0.0,0.0,0.0,0.0,0.622358500957489,0.9711838960647583,1.024426817893982
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000,linear1,0.9999607801437378,0.9928023219108582,0.007197678089141846,0.9999607801437378,"[0.9999935626983643, 0.999942421913147, 0.999998927116394, 0.9999775290489197, 0.9998913407325745]","[0.9907261729240417, 0.9998450875282288, 0.9888778924942017, 0.9953184127807617, 0.989244282245636]",1.0,0.0,0.0,0.0,0.9928023219108582,1.0370378494262695,1.0357674360275269
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000,linear2,0.6416953802108765,0.6239393353462219,0.3760606646537781,0.6416953802108765,"[0.6428481340408325, 0.6405426859855652]","[0.6236084699630737, 0.6242702007293701]",0.0,0.0,0.0,0.0,0.6239393353462219,0.9740645885467529,1.022857904434204
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000,linear1,0.9999699592590332,0.992519736289978,0.007480263710021973,0.9999699592590332,"[0.9999992251396179, 0.9999498128890991, 0.9999997615814209, 0.999981701374054, 0.9999195337295532]","[0.9914863705635071, 0.9932709336280823, 0.988259494304657, 0.9968414902687073, 0.9927403926849365]",1.0,0.0,0.0,0.0,0.992519736289978,1.037477731704712,1.0364205837249756
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000,linear2,0.6410934925079346,0.622434139251709,0.377565860748291,0.6410934925079346,"[0.6423173546791077, 0.6398695707321167]","[0.619533121585846, 0.6253350973129272]",0.0,0.0,0.0,0.0,0.622434139251709,0.9736334085464478,1.0272941589355469
