run_name,depth,architecture,replicate,checkpoint_step,probe_type,raw_output_norm_ratio_mean,ci_masked_output_norm_ratio_mean,raw_output_contraction_gap,ci_output_contraction_gap,raw_output_mse,ci_masked_output_mse,raw_jacobian_fro_ratio_mean,ci_jacobian_fro_ratio_mean,raw_jacobian_contraction_gap,ci_jacobian_contraction_gap
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000,exhaustive,0.9439788460731506,1.1036983728408813,0.056021153926849365,-0.10369837284088135,3.019537871296052e-05,0.015195569023489952,1.0051305889823394,2.9793060377041742,-0.0051305889823394235,-1.9793060377041742
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000,exhaustive,0.9398733377456665,1.021004557609558,0.060126662254333496,-0.021004557609558105,1.6771917216829024e-05,0.0074320510029792786,1.001834602560174,3.3160927269942215,-0.0018346025601740923,-2.3160927269942215
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000,exhaustive,0.9410937428474426,0.931970477104187,0.05890625715255737,0.06802952289581299,6.363384454743937e-05,0.005925869569182396,1.002869566097122,3.2997575929230933,-0.0028695660971220782,-2.2997575929230933
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000,exhaustive,0.940999448299408,0.9088771939277649,0.05900055170059204,0.09112280607223511,2.157332346541807e-05,0.006069789174944162,1.002781558566959,3.486119737033472,-0.0027815585669590526,-2.486119737033472
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000,exhaustive,0.9443686604499817,0.8719364404678345,0.05563133955001831,0.12806355953216553,3.251181624364108e-05,0.003936373628675938,1.0054402537632028,3.6305953310285988,-0.005440253763202785,-2.6305953310285988
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000,exhaustive,0.943442165851593,0.8875893950462341,0.05655783414840698,0.11241060495376587,1.614271241123788e-05,0.0034989260602742434,1.0047402066355207,3.7326848774927575,-0.004740206635520661,-2.7326848774927575
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000,exhaustive,0.9442316889762878,0.8780282139778137,0.05576831102371216,0.12197178602218628,2.0497422156040557e-05,0.003037302289158106,1.0053452093493418,3.73133984328816,-0.005345209349341795,-2.73133984328816
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000,exhaustive,0.9456624984741211,0.8751596808433533,0.054337501525878906,0.12484031915664673,2.199761183874216e-05,0.003542363177984953,1.0064782705596151,3.738015120920385,-0.00647827055961514,-2.738015120920385
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000,exhaustive,1.0138323307037354,0.8616496324539185,-0.013832330703735352,0.13835036754608154,0.0007121713133528829,0.018350746482610703,0.995680087274169,0.2730876613637821,0.004319912725830988,0.726912338636218
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000,exhaustive,1.0021703243255615,0.8627477884292603,-0.0021703243255615234,0.13725221157073975,0.0006125833024270833,0.018638212233781815,1.0044393734537216,0.2720978776408297,-0.0044393734537215845,0.7279021223591703
