run_name,depth,architecture,replicate,checkpoint_step,layer_name,probe_type,mean_pre_sigmoid_ci,mean_lower_ci,mean_upper_ci,median_lower_ci,frac_lower_ci_gt_0p9,frac_lower_ci_lt_0p1,raw_fro_ratio,expected_mask_fro_ratio_mean,expected_train_mask_fro_ratio_mean,mask_attenuation_gap,train_mask_attenuation_gap
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000,linear1,singleton,-0.2264050990343094,0.05000000074505806,0.05172492936253548,0.0,0.05000000074505806,0.949999988079071,1.0025578737258911,0.6347116231918335,0.6334924697875977,0.3678462505340576,0.36906540393829346
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,5000,linear2,singleton,-0.8460651636123657,0.1178925484418869,0.12128741294145584,0.0,0.05999999865889549,0.8500000238418579,1.0025578737258911,0.7726553678512573,0.7713997960090637,0.2299025058746338,0.2311580777168274
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000,linear1,singleton,-0.4886886179447174,0.04932641610503197,0.04997817054390907,0.0,0.05000000074505806,0.949999988079071,1.000920057296753,0.631940484046936,0.6315039396286011,0.3689795732498169,0.36941611766815186
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,10000,linear2,singleton,-1.7587594985961914,0.1183549240231514,0.120636947453022,0.0,0.05000000074505806,0.8500000238418579,1.000920057296753,0.773280918598175,0.7728284001350403,0.22763913869857788,0.22809165716171265
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000,linear1,singleton,-0.5600459575653076,0.04928091540932655,0.04960815608501434,0.0,0.05000000074505806,0.949999988079071,1.0014313459396362,0.6324843168258667,0.6317989230155945,0.36894702911376953,0.36963242292404175
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,15000,linear2,singleton,-2.7553086280822754,0.12186618894338608,0.12230485677719116,0.0,0.07000000029802322,0.8500000238418579,1.0014313459396362,0.7824205160140991,0.7816840410232544,0.2190108299255371,0.21974730491638184
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000,linear1,singleton,-0.5359793305397034,0.049049559980630875,0.0491730198264122,0.0,0.05000000074505806,0.949999988079071,1.0013850927352905,0.6320844292640686,0.6314235925674438,0.3693006634712219,0.3699615001678467
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,20000,linear2,singleton,-2.6190128326416016,0.12129794806241989,0.12135560810565948,0.0,0.05999999865889549,0.8500000238418579,1.00138521194458,0.7810133695602417,0.7803627848625183,0.22037184238433838,0.22102242708206177
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000,linear1,singleton,-0.5573382377624512,0.04917449504137039,0.04917643591761589,0.0,0.05000000074505806,0.949999988079071,1.0027130842208862,0.6330946683883667,0.6318052411079407,0.36961841583251953,0.37090784311294556
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,25000,linear2,singleton,-2.4002959728240967,0.1220974326133728,0.12211925536394119,0.0,0.05999999865889549,0.8500000238418579,1.0027130842208862,0.7834597826004028,0.7821605801582336,0.2192533016204834,0.2205525040626526
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000,linear1,singleton,-0.5712411999702454,0.04933492839336395,0.04933791235089302,0.0,0.05000000074505806,0.949999988079071,1.0023645162582397,0.6334580183029175,0.632332444190979,0.36890649795532227,0.37003207206726074
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000,linear2,singleton,-2.443861484527588,0.1216021180152893,0.12160851806402206,0.0,0.07000000029802322,0.8500000238418579,1.0023645162582397,0.7821705937385559,0.7810326218605042,0.22019392251968384,0.2213318943977356
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000,linear1,singleton,-0.5742936730384827,0.04915186017751694,0.049154747277498245,0.0,0.05000000074505806,0.949999988079071,1.0026644468307495,0.6327407360076904,0.6314714550971985,0.3699237108230591,0.371192991733551
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000,linear2,singleton,-2.456829071044922,0.1220623329281807,0.12206492573022842,0.0,0.07000000029802322,0.8500000238418579,1.0026644468307495,0.7828615307807922,0.7815736532211304,0.21980291604995728,0.22109079360961914
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000,linear1,singleton,-0.574053168296814,0.04912756010890007,0.049129072576761246,0.0,0.05000000074505806,0.949999988079071,1.003233790397644,0.6330071687698364,0.6314680576324463,0.3702266216278076,0.37176573276519775
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000,linear2,singleton,-2.46020770072937,0.12198444455862045,0.12198556214570999,0.0,0.07000000029802322,0.8500000238418579,1.003233790397644,0.7830279469490051,0.7814738750457764,0.22020584344863892,0.22175991535186768
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000,linear1,singleton,-0.1362931728363037,0.019999999552965164,0.020391693338751793,0.0,0.019999999552965164,0.9800000190734863,0.9915441870689392,0.6069761514663696,0.6109810471534729,0.3845680356025696,0.3805631399154663
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000,linear2,singleton,-0.2506908178329468,0.03000473789870739,0.03025706298649311,0.0,0.029999999329447746,0.9700000286102295,1.0037661790847778,0.6257306933403015,0.6229307055473328,0.3780354857444763,0.38083547353744507
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000,linear1,singleton,-0.14696024358272552,0.019999999552965164,0.020019443705677986,0.0,0.019999999552965164,0.9800000190734863,0.9912998676300049,0.6062986254692078,0.6103440523147583,0.3850012421607971,0.3809558153152466
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000,linear2,singleton,-0.2321191281080246,0.029647469520568848,0.029683886095881462,0.0,0.029999999329447746,0.9700000286102295,1.0041955709457397,0.625918984413147,0.6226226687431335,0.3782765865325928,0.3815729022026062
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,15000,linear1,singleton,-0.0646771490573883,0.019880257546901703,0.019895445555448532,0.0,0.019999999552965164,0.9800000190734863,0.9981446266174316,0.6089968681335449,0.6098639369010925,0.3891477584838867,0.3882806897163391
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,15000,linear2,singleton,-0.18164457380771637,0.029291367158293724,0.029300814494490623,0.0,0.029999999329447746,0.9700000286102295,1.0023704767227173,0.624796450138092,0.6227010488510132,0.37757402658462524,0.3796694278717041
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,20000,linear1,singleton,-0.04318566620349884,0.019721440970897675,0.01972430758178234,0.0,0.019999999552965164,0.9800000190734863,0.9975192546844482,0.608747124671936,0.6098883748054504,0.3887721300125122,0.3876308798789978
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,20000,linear2,singleton,-0.15985167026519775,0.028776202350854874,0.028780270367860794,0.0,0.019999999552965164,0.9700000286102295,1.000783920288086,0.6236628293991089,0.6225534677505493,0.37712109088897705,0.3782304525375366
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,25000,linear1,singleton,-0.033991504460573196,0.019715406000614166,0.019715406000614166,0.0,0.019999999552965164,0.9800000190734863,0.9974095821380615,0.6091529130935669,0.6103559732437134,0.38825666904449463,0.38705360889434814
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,25000,linear2,singleton,-0.1344897598028183,0.028805403038859367,0.028806263580918312,0.0,0.019999999552965164,0.9700000286102295,1.0015056133270264,0.6234937310218811,0.6218902468681335,0.37801188230514526,0.3796153664588928
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,30000,linear1,singleton,-0.029787972569465637,0.019809992983937263,0.019810453057289124,0.0,0.019999999552965164,0.9800000190734863,0.9963416457176208,0.6089734435081482,0.610650360584259,0.38736820220947266,0.3856912851333618
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,30000,linear2,singleton,-0.08656720072031021,0.02869103103876114,0.02869103103876114,0.0,0.019999999552965164,0.9700000286102295,1.0021916627883911,0.6235082149505615,0.621552586555481,0.3786834478378296,0.38063907623291016
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,35000,linear1,singleton,-0.02795541100203991,0.019802376627922058,0.019803253933787346,0.0,0.019999999552965164,0.9800000190734863,0.9976503849029541,0.6099429130554199,0.6109927892684937,0.3877074718475342,0.38665759563446045
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,35000,linear2,singleton,-0.0807826966047287,0.028659557923674583,0.028659557923674583,0.0,0.019999999552965164,0.9700000286102295,1.0023902654647827,0.6236006021499634,0.6216107606887817,0.37878966331481934,0.380779504776001
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,40000,linear1,singleton,-0.026595812290906906,0.019801612943410873,0.019802352413535118,0.0,0.019999999552965164,0.9800000190734863,0.9974492192268372,0.6099581718444824,0.6111003160476685,0.38749104738235474,0.3863489031791687
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,40000,linear2,singleton,-0.07957729697227478,0.028752125799655914,0.028752125799655914,0.0,0.019999999552965164,0.9700000286102295,1.0031092166900635,0.6240905523300171,0.6217218637466431,0.3790186643600464,0.3813873529434204
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000,linear1,singleton,-0.28127777576446533,0.05000000074505806,0.05166197195649147,0.0,0.05000000074505806,0.949999988079071,1.0039997100830078,0.6360257863998413,0.6341150999069214,0.3679739236831665,0.3698846101760864
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000,linear2,singleton,-0.0683717280626297,0.09804566204547882,0.10196620970964432,0.0,0.05000000074505806,0.8799999952316284,1.0039997100830078,0.7369426488876343,0.7350168228149414,0.26705706119537354,0.2689828872680664
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000,hidden_layers.0,singleton,0.1264217048883438,0.07999999821186066,0.08206222206354141,0.0,0.07999999821186066,0.9200000166893005,0.9965776801109314,0.9196866154670715,0.9213660955429077,0.07689106464385986,0.07521158456802368
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000,linear1,singleton,-0.5436104536056519,0.04926352575421333,0.0497111976146698,0.0,0.05000000074505806,0.949999988079071,1.000745415687561,0.6317895650863647,0.6314296722412109,0.3689558506011963,0.3693157434463501
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000,linear2,singleton,-0.27809813618659973,0.10025985538959503,0.1036008670926094,0.0,0.05000000074505806,0.8799999952316284,1.000745415687561,0.7399742603302002,0.739593505859375,0.26077115535736084,0.26115190982818604
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000,hidden_layers.0,singleton,0.08098863810300827,0.07999999821186066,0.0814310610294342,0.0,0.07999999821186066,0.9200000166893005,0.9988725781440735,0.9223958849906921,0.9229482412338257,0.07647669315338135,0.0759243369102478
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000,linear1,singleton,-0.5970149636268616,0.04889500141143799,0.048895593732595444,0.0,0.05000000074505806,0.949999988079071,1.0020638704299927,0.6315082907676697,0.6305232644081116,0.370555579662323,0.3715406060218811
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000,linear2,singleton,-0.6042755842208862,0.10118507593870163,0.10307365655899048,0.0,0.05000000074505806,0.8799999952316284,1.0020638704299927,0.7441601753234863,0.7431421279907227,0.25790369510650635,0.25892174243927
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000,hidden_layers.0,singleton,0.08197634667158127,0.07999999821186066,0.08086928725242615,0.0,0.07999999821186066,0.9200000166893005,1.0025157928466797,0.9244677424430847,0.9232245683670044,0.07804805040359497,0.07929122447967529
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,linear1,singleton,-0.5303738713264465,0.04668845236301422,0.04668845236301422,0.0,0.03999999910593033,0.949999988079071,1.0044621229171753,0.626160740852356,0.6240365505218506,0.37830138206481934,0.3804255723953247
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,linear2,singleton,-0.9429019093513489,0.10136891156435013,0.10220065712928772,0.0,0.05000000074505806,0.8700000047683716,1.0044621229171753,0.745053768157959,0.7429054975509644,0.2594083547592163,0.26155662536621094
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,hidden_layers.0,singleton,0.07180225849151611,0.07866250723600388,0.07911131531000137,0.0,0.07999999821186066,0.9200000166893005,1.0017741918563843,0.9263153076171875,0.9254439473152161,0.07545888423919678,0.07633024454116821
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,linear1,singleton,-0.48975878953933716,0.04744604229927063,0.04744604229927063,0.0,0.05000000074505806,0.949999988079071,1.0028858184814453,0.6278359293937683,0.626461923122406,0.375049889087677,0.3764238953590393
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,linear2,singleton,-1.102052927017212,0.10109270364046097,0.10147357732057571,0.0,0.05000000074505806,0.8700000047683716,1.0028858184814453,0.7444104552268982,0.7430189251899719,0.2584753632545471,0.2598668932914734
