run_name,architecture,depth,layer_name,threshold,first_checkpoint_below_threshold
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.0,0.9,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.0,0.8,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.1,0.95,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.1,0.9,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.1,0.8,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.2,0.95,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.2,0.9,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,hidden_layers.2,0.8,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,linear1,0.95,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,linear1,0.9,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,linear1,0.8,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,linear2,0.95,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,linear2,0.9,
exp_07_tms_5_2_5layer_untied_rep1,untied,5,linear2,0.8,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.0,0.95,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.0,0.9,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.0,0.8,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.1,0.95,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.1,0.9,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.1,0.8,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.2,0.95,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.2,0.9,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.2,0.8,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.3,0.95,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.3,0.9,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,hidden_layers.3,0.8,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,linear1,0.95,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,linear1,0.9,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,linear1,0.8,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,linear2,0.95,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,linear2,0.9,
exp_07_tms_5_2_6layer_tied_rep1,tied,6,linear2,0.8,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.0,0.95,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.0,0.9,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.0,0.8,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.1,0.95,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.1,0.9,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.1,0.8,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.2,0.95,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.2,0.9,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.2,0.8,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.3,0.95,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.3,0.9,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,hidden_layers.3,0.8,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,linear1,0.95,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,linear1,0.9,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,linear1,0.8,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,linear2,0.95,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,linear2,0.9,
exp_07_tms_5_2_6layer_untied_rep1,untied,6,linear2,0.8,
